Source,State,Year,Annual Generation (In MU)
small-hydro,Jammu and Kashmir,2019-20,443.13
small-hydro,Jharkhand,2019-20,5.43
small-hydro,Karnataka,2019-20,1901.91
small-hydro,Kerala,2019-20,530.37
small-hydro,Madhya Pradesh,2019-20,246.16
small-hydro,Maharashtra,2019-20,695.56
small-hydro,Manipur,2019-20,1.57
small-hydro,Meghalaya,2019-20,62.73
small-hydro,Mizoram,2019-20,49.56
small-hydro,Nagaland,2019-20,75.87
small-hydro,Odisha,2019-20,299.65
small-hydro,Punjab,2019-20,712.77
small-hydro,Rajasthan,2019-20,9.75
small-hydro,Sikkim,2019-20,60.62
small-hydro,Tamil Nadu,2019-20,235.76
small-hydro,Telangana,2019-20,46.29
small-hydro,Tripura,2019-20,24.67
small-hydro,Uttar Pradesh,2019-20,36.43
small-hydro,Uttarakhand,2019-20,742.19
small-hydro,West Bengal,2019-20,115.68
small-hydro,Andaman and Nicobar Islands,2018-19,16.58
small-hydro,Andhra Pradesh,2018-19,193.11
small-hydro,Arunachal Pradesh,2018-19,0.55
small-hydro,Assam,2018-19,46.03
small-hydro,Bihar,2018-19,27.75
small-hydro,Chhattisgarh,2018-19,80.08
small-hydro,Goa,2018-19,
small-hydro,Gujarat,2018-19,86.19
small-hydro,Haryana,2018-19,250.83
small-hydro,Himachal Pradesh,2018-19,2287.92
small-hydro,Jammu and Kashmir,2018-19,312.19
small-hydro,Jharkhand,2018-19,
small-hydro,Karnataka,2018-19,1803.10
small-hydro,Kerala,2018-19,551.55
small-hydro,Madhya Pradesh,2018-19,145.47
small-hydro,Maharashtra,2018-19,759.06
small-hydro,Manipur,2018-19,
small-hydro,Meghalaya,2018-19,50.51
small-hydro,Mizoram,2018-19,39.97
small-hydro,Nagaland,2018-19,87.45
small-hydro,Odisha,2018-19,266.08
small-hydro,Punjab,2018-19,351.22
small-hydro,Rajasthan,2018-19,5.18
small-hydro,Sikkim,2018-19,28.10
small-hydro,Tamil Nadu,2018-19,347.97
small-hydro,Telangana,2018-19,51.18
small-hydro,Tripura,2018-19,42.98
small-hydro,Uttar Pradesh,2018-19,31.31
small-hydro,Uttarakhand,2018-19,676.79
small-hydro,West Bengal,2018-19,163.62
small-hydro,Andaman and Nicobar Islands,2017-18,12.77
small-hydro,Andhra Pradesh,2017-18,181.69
small-hydro,Arunachal Pradesh,2017-18,0.47
small-hydro,Assam,2017-18,16.13
small-hydro,Bihar,2017-18,7.95
small-hydro,Chhattisgarh,2017-18,22.94
small-hydro,Goa,2017-18,
small-hydro,Gujarat,2017-18,42.93
small-hydro,Haryana,2017-18,210.29
small-hydro,Himachal Pradesh,2017-18,1903.05
small-hydro,Jammu and Kashmir,2017-18,324.37
small-hydro,Jharkhand,2017-18,
small-hydro,Karnataka,2017-18,1604.41
small-hydro,Kerala,2017-18,620.52
small-hydro,Madhya Pradesh,2017-18,124.11
small-hydro,Maharashtra,2017-18,627.12
small-hydro,Manipur,2017-18,
small-hydro,Meghalaya,2017-18,70.56
small-hydro,Mizoram,2017-18,54.67
small-hydro,Nagaland,2017-18,91.00
small-hydro,Odisha,2017-18,265.57
small-hydro,Punjab,2017-18,217.62
small-hydro,Rajasthan,2017-18,8.69
small-hydro,Sikkim,2017-18,30.54
small-hydro,Tamil Nadu,2017-18,186.14
small-hydro,Telangana,2017-18,51.27
small-hydro,Tripura,2017-18,44.48
small-hydro,Uttar Pradesh,2017-18,30.18
small-hydro,Uttarakhand,2017-18,749.61
small-hydro,West Bengal,2017-18,192.52
small-hydro,Andaman and Nicobar Islands,2016-17,13.86
small-hydro,Andhra Pradesh,2016-17,168.75
small-hydro,Arunachal Pradesh,2016-17,16.48
small-hydro,Assam,2016-17,83.42
small-hydro,Bihar,2016-17,21.63
small-hydro,Chhattisgarh,2016-17,44.23
small-hydro,Goa,2016-17,
small-hydro,Gujarat,2016-17,27.54
small-hydro,Haryana,2016-17,291.86
small-hydro,Himachal Pradesh,2016-17,2110.71
small-hydro,Jammu and Kashmir,2016-17,391.86
small-hydro,Jharkhand,2016-17,
small-hydro,Karnataka,2016-17,1597.14
small-hydro,Kerala,2016-17,402.20
small-hydro,Madhya Pradesh,2016-17,224.47
small-hydro,Maharashtra,2016-17,609.58
small-hydro,Manipur,2016-17,
small-hydro,Meghalaya,2016-17,59.10
small-hydro,Mizoram,2016-17,45.50
small-hydro,Nagaland,2016-17,92.73
small-hydro,Odisha,2016-17,239.04
small-hydro,Punjab,2016-17,414.81
small-hydro,Rajasthan,2016-17,6.75
small-hydro,Sikkim,2016-17,30.97
small-hydro,Tamil Nadu,2016-17,93.81
small-hydro,Telangana,2016-17,52.64
small-hydro,Tripura,2016-17,46.47
small-hydro,Uttar Pradesh,2016-17,27.83
small-hydro,Uttarakhand,2016-17,789.05
small-hydro,West Bengal,2016-17,256.95
small-hydro,Andaman and Nicobar Islands,2015-16,12.46
small-hydro,Andhra Pradesh,2015-16,103.09
small-hydro,Arunachal Pradesh,2015-16,18.23
small-hydro,Assam,2015-16,59.33
small-hydro,Bihar,2015-16,53.87
small-hydro,Chhattisgarh,2015-16,30.43
small-hydro,Goa,2015-16,
small-hydro,Gujarat,2015-16,36.27
small-hydro,Haryana,2015-16,992.64
small-hydro,Himachal Pradesh,2015-16,1921.77
small-hydro,Jammu and Kashmir,2015-16,304.78
small-hydro,Jharkhand,2015-16,
small-hydro,Karnataka,2015-16,1483.48
small-hydro,Kerala,2015-16,486.99
small-hydro,Madhya Pradesh,2015-16,118.55
small-hydro,Maharashtra,2015-16,562.78
small-hydro,Manipur,2015-16,
small-hydro,Meghalaya,2015-16,65.97
small-hydro,Mizoram,2015-16,27.62
small-hydro,Nagaland,2015-16,88.74
small-hydro,Odisha,2015-16,263.25
small-hydro,Punjab,2015-16,490.08
small-hydro,Rajasthan,2015-16,5.05
small-hydro,Sikkim,2015-16,41.93
small-hydro,Tamil Nadu,2015-16,214.03
small-hydro,Telangana,2015-16,48.71
small-hydro,Tripura,2015-16,18.48
small-hydro,Uttar Pradesh,2015-16,29.73
small-hydro,Uttarakhand,2015-16,605.69
small-hydro,West Bengal,2015-16,275.83
,,,
"Copyright © 2025, NITI Aayog",,,
https://iced.niti.gov.in,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,,
