Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2022-23,2010-2019,Pressurised Water Reactor,central,7035.10
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2022-23,1980-1989,Pressurised Heavy Water Reactor,central,1786.29
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2022-23,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2022-23,1990-1999,Pressurised Heavy Water Reactor,central,1539.14
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2022-23,1990-1999,Pressurised Heavy Water Reactor,central,1647.65
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2022-23,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,1201.60
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2022-23,1980-1989,Pressurised Heavy Water Reactor,central,732.35
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2022-23,2010-2019,Pressurised Heavy Water Reactor,central,1658.80
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,1031.07
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2022-23,2010-2019,Pressurised Heavy Water Reactor,central,1915.64
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,4636.04
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,4349.52
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2022-23,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2022-23,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,2051.67
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,1604.27
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2021-22,2010-2019,Pressurised Heavy Water Reactor,central,2014.20
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,1802.10
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2021-22,1990-1999,Pressurised Heavy Water Reactor,central,1651.64
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2021-22,1990-1999,Pressurised Heavy Water Reactor,central,1851.88
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2021-22,2010-2019,Pressurised Water Reactor,central,7009.16
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2021-22,2010-2019,Pressurised Water Reactor,central,7527.09
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2021-22,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2021-22,1980-1989,Pressurised Heavy Water Reactor,central,1089.74
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2021-22,1990-1999,Pressurised Heavy Water Reactor,central,1752.63
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2021-22,1990-1999,Pressurised Heavy Water Reactor,central,1827.78
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2021-22,1980-1989,Pressurised Heavy Water Reactor,central,1452.82
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2021-22,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2021-22,2010-2019,Pressurised Heavy Water Reactor,central,1862.30
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,1722.03
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,1529.31
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2021-22,2010-2019,Pressurised Heavy Water Reactor,central,1667.81
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2021-22,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,3828.66
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2021-22,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2021-22,2000-2009,Pressurised Heavy Water Reactor,central,4773.61
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,1580.24
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,1887.11
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,1602.42
