Source,State,Year,Annual Generation (In MU)
solar,Himachal Pradesh,2019-20,11.66
solar,Jammu and Kashmir,2019-20,
solar,Jharkhand,2019-20,17.47
solar,Karnataka,2019-20,11221.20
solar,Kerala,2019-20,143.59
solar,Lakshadweep,2019-20,0.66
solar,Madhya Pradesh,2019-20,3496.23
solar,Maharashtra,2019-20,2372.68
solar,Manipur,2019-20,2.63
solar,Meghalaya,2019-20,
solar,Mizoram,2019-20,0.44
solar,Nagaland,2019-20,
solar,Odisha,2019-20,362.29
solar,Others,2019-20,
solar,Puducherry,2019-20,4.15
solar,Punjab,2019-20,1358.22
solar,Rajasthan,2019-20,7776.56
solar,Sikkim,2019-20,
solar,Tamil Nadu,2019-20,4946.63
solar,Telangana,2019-20,6263.92
solar,Tripura,2019-20,3.43
solar,Uttar Pradesh,2019-20,1447.05
solar,Uttarakhand,2019-20,341.51
solar,West Bengal,2019-20,64.29
solar,Andaman and Nicobar Islands,2018-19,14.61
solar,Andhra Pradesh,2018-19,4963.96
solar,Arunachal Pradesh,2018-19,1.21
solar,Assam,2018-19,6.66
solar,Bihar,2018-19,179.89
solar,Chandigarh,2018-19,13.51
solar,Chhattisgarh,2018-19,335.14
solar,Dadra and Nagar Haveli and Daman and Diu,2018-19,24.70
solar,Delhi,2018-19,10.84
solar,Goa,2018-19,
solar,Gujarat,2018-19,2478.73
solar,Haryana,2018-19,74.41
solar,Himachal Pradesh,2018-19,
solar,Jammu and Kashmir,2018-19,
solar,Jharkhand,2018-19,19.14
solar,Karnataka,2018-19,7575.83
solar,Kerala,2018-19,110.84
solar,Lakshadweep,2018-19,1.12
solar,Madhya Pradesh,2018-19,2913.87
solar,Maharashtra,2018-19,2206.62
solar,Manipur,2018-19,1.88
solar,Meghalaya,2018-19,
solar,Mizoram,2018-19,0.12
solar,Nagaland,2018-19,
solar,Odisha,2018-19,262.26
solar,Others,2018-19,
solar,Puducherry,2018-19,2.58
solar,Punjab,2018-19,1492.90
solar,Rajasthan,2018-19,5098.90
solar,Sikkim,2018-19,
solar,Tamil Nadu,2018-19,3554.50
solar,Telangana,2018-19,6314.26
solar,Tripura,2018-19,7.14
solar,Uttar Pradesh,2018-19,1243.59
solar,Uttarakhand,2018-19,318.29
solar,West Bengal,2018-19,40.67
solar,Andaman and Nicobar Islands,2017-18,13.69
solar,Andhra Pradesh,2017-18,4068.93
solar,Arunachal Pradesh,2017-18,0.23
solar,Assam,2017-18,8.36
solar,Bihar,2017-18,145.34
solar,Chandigarh,2017-18,7.87
solar,Chhattisgarh,2017-18,136.54
solar,Dadra and Nagar Haveli and Daman and Diu,2017-18,23.76
