Year,State/UTs,domestic,commercial,industrial power(low and med voltage),industrial power(high voltage),public lighting,traction,agriculture,public water works and sewage pumping,miscellaneous
2021,Lakshadweep,73.63,22.75,0,1.79,1.63,0,0,0,0.19
2021,Southern Region,26.84,9.06,5.96,29.54,1.18,1.34,22.88,2.44,3.56
2021,Bihar,63.89,9.67,2.55,11.38,0.42,4.3,4.38,0.87,2.78
2021,Jharkhand,19.56,3.25,1.05,70.81,0.32,4.56,0.77,0,1.23
2021,Odisha,11.98,4.57,0.65,76.06,0.3,5.79,2.65,1.41,8.08
2021,West Bengal,32.94,10.65,4.26,39.3,1.36,4.6,2.41,2.25,3.19
2021,Sikkim,26.48,8.91,0.5,57.39,0,0,0,0,6.72
2021,A & N Islands,55.38,23.67,4.28,0,2.54,0,0.44,0,13.69
2021,Eastern Region,26.26,6.81,2,55.87,0.62,4.78,2.55,1.37,3.9
2021,Arunachal Pradesh,40.09,12.42,0.56,40.29,0,0,0.01,1.54,5.08
2021,Assam,47.73,11.14,0.98,24.38,0.21,0.14,0.64,1.35,15.8
2021,Manipur,66.94,12.46,2.71,1.7,0.72,0,0.98,3.03,11.46
2021,Meghalaya,43.12,5.57,2.55,43.01,0,0,0.01,3.64,2.22
2021,Mizoram,70.44,11.56,0.67,2.42,2.25,0,0,11.36,1.31
2021,Nagaland,59.19,12.14,5.8,0,4.49,0,0,0,18.38
2021,Tripura,61.07,8.19,3.49,1.03,5.1,0,3.72,8,9.38
2021,North-Eastern Region,50.4,10.54,1.6,21.99,0.84,0.09,0.74,2.62,12.61
2021,Total (All India),25.8,7.38,5.82,36.44,0.72,1.92,20.01,2.32,3.24
2022,Chandigarh,47.97,27.99,6.94,6.98,1.07,0.19,0.1,1.24,7.54
2022,Delhi,57.45,24.81,8.88,0.99,0.97,0.82,0.13,2.12,11.8
2022,Haryana,27.06,7.86,18.57,21.58,0.29,2.83,18.02,2.46,4.89
2022,Himachal Pradesh,23.65,6.41,0.96,57.9,0.1,0.02,0.82,6.67,3.63
2022,UT of J&K and Ladakh,46.11,12.47,2.85,13.41,1.28,0.83,3.67,7.14,12.24
2022,Punjab,28.15,6.98,1.48,35.7,0.26,0.73,22.18,0,4.13
2022,Rajasthan,17.11,6.03,3.75,29.31,0.38,0.88,35.34,3.21,4.01
2022,Uttar Pradesh,38.59,6.04,1.55,10.54,0.61,3.29,15.3,1.57,16.41
2022,Uttarakhand,24.6,13.39,2.4,52.01,0.45,0.63,2.9,3.65,0
2022,Sub-Total (NR),31.63,8.39,4.99,21.93,0.49,1.88,18.64,2.19,8.91
2022,Chhattisgarh,14.39,4.13,4.65,59.71,0.28,2.94,15.29,1.59,0
2022,Gujarat,12.55,4.88,10.21,56.99,0.14,0.69,15.27,1.67,0.3
2022,Madhya Pradesh,23.73,5.73,2.03,23.18,0.57,3.63,36.73,2.76,1.65
2022,Maharashtra,19.75,8.64,8.05,34.68,0.7,2.07,22.58,1.95,2.48
2022,DNH & DD,3.17,1.04,5.44,87.03,0.06,0,0.08,0.04,0.03
2022,Goa,27.15,13.48,1.86,55.04,0.91,0.09,0.74,0,2.1
2022,Sub-Total (WR),17.31,6.37,7.24,43.75,0.45,1.92,21.18,1.9,1.33
2022,Andhra Pradesh,20.07,5.75,1.83,33.47,0.48,2.52,10.84,1.66,5.82
2022,Telangana,19.18,10.03,15.12,14.59,1.26,1.44,30.46,1.59,4.95
2022,Karnataka,19.62,9.67,7.58,27.7,1.63,0.78,28.16,6.26,1.91
2022,Kerala,48.25,23.04,5.37,19.04,1.4,1.55,1.52,0,0.17
2022,Tamil Nadu,27.19,10.2,8.42,33.48,0,1.21,12.64,2.76,2.92
2022,Puducherry,26.5,6.93,3.99,58.63,0.29,0,1.97,1.54,0.16
2022,Lakshadweep,71.88,25.52,0.87,0,1.52,0,0,0,0.22
2022,Sub-Total (SR),23.93,9.89,7.78,27.87,0.78,1.48,17.93,2.78,3.57
2022,Bihar,43.85,9.23,2.47,11.35,0.79,4.17,10.31,2.47,0
2022,Jharkhand,15.75,3.36,2.24,68.14,0.6,3.82,0.43,0,5.17
2022,Odisha,10.13,4.04,4.93,80.04,0.27,2.94,0.85,0.6,0.81
2022,West Bengal,29.71,11.34,4.24,33.54,1.26,4.46,2.42,1.85,3.61
2022,Sikkim,24.66,9.33,0.36,58.73,0.06,0,0,0,6.87
2022,A & N Islands,23.89,9.58,0,1.85,0.76,0,0.23,0,6.22
2022,Sub-Total (ER),22.93,7.11,3.84,51.7,0.72,3.75,2.88,1.21,2.27
2022,Arunachal Pradesh,40.63,15.16,0.41,37.2,0,0.07,0.01,1.54,4.98
2022,Assam,46.12,14.61,2.05,26.17,0.21,1.77,0.69,1.79,13.88
2022,Manipur,61.43,15.86,3.05,2.25,2,0.01,0.69,9.76,4.94
2022,Meghalaya,29.56,6.36,0.32,56.23,0.06,0,0.01,2.4,5.06
2022,Mizoram,62.64,10.53,0.49,2.22,0.5,0.1,0.22,19.44,3.85
2022,Nagaland,95.16,20.74,9.91,6.92,0.16,0.1,0,0.06,25.34
2022,Tripura,24.2,2.76,0.91,1.01,0.44,0.14,2.09,4.49,7.56
2022,Sub-Total (NER),43.28,12.04,1.84,23.56,0.31,1.1,0.78,3.1,11.25
2022,Total (All India),24.17,8.02,6.18,34.46,0.58,2.06,16.69,2.12,4.29
